file_name,Year,Journal,DOI
1.pdf,2025,Building and Environment,10.1016/j.buildenv.2025.113072
2.pdf,2023,Electronics (Switzerland),10.3390/electronics12081845
3.pdf,2024,Landscape and Urban Planning,10.1016/j.landurbplan.2023.104958
4.pdf,2024,Buildings,10.3390/buildings14061876
5.pdf,2023,International Journal of Geographical Information Science,10.1080/13658816.2023.2214592
6.pdf,2020,Urban Science,10.3390/urbansci4020027
7.pdf,2022,Scientific Programming,10.1155/2022/1610427
8.pdf,2023,Journal of Digital Landscape Architecture,10.14627/537740048
9.pdf,2020,Journal of Infrastructure Systems,10.1061/(ASCE)IS.1943-555X.0000563
10.pdf,2023,Land,10.3390/land12020394
11.pdf,2019,Environment and Planning B: Urban Analytics and City Science,10.1177/2399808319828734
12.pdf,2023,Urban Science,10.3390/urbansci7010002
13.pdf,2025,Land,10.3390/land14061156
14.pdf,2023,Building and Environment,10.1016/j.buildenv.2023.110414
15.pdf,2022,Buildings,10.3390/buildings12111971
16.pdf,2024,Computational Urban Science,10.1007/s43762-023-00111-z
17.pdf,2021,Environment and Planning B: Urban Analytics and City Science,10.1177/2399808319892599
18.pdf,2024,Environment and Planning B: Urban Analytics and City Science,10.1177/23998083231204606
19.pdf,2025,GeoJournal ,10.1007/s10708-025-11343-3
20.pdf,2025,Landscape Ecology,10.1007/s10980-025-02090-4
21.pdf,2025,Results in Engineering,10.1016/j.rineng.2025.104214
22.pdf,2025,Proceedings of the National Academy of Sciences of the United States of America,10.1073/pnas.2414848122
23.pdf,2025,Environmental Science and Ecotechnology ,10.1016/j.ese.2025.100538
24.pdf,2025,Building and Environment,10.1016/j.buildenv.2025.112569
25.pdf,2024,Environment and Planning B: Urban Analytics and City Science,10.1177/23998083231198721
26.pdf,2024,SSRG International Journal of Civil Engineering,10.14445/23488352/IJCE-V11I7P102
27.pdf,2025,Energy and Buildings,10.1016/j.enbuild.2025.115470
28.pdf,2023,Land,10.3390/land12101908
29.pdf,2019,Environment and Planning B: Urban Analytics and City Science,10.1177/2399808319840668
30.pdf,2015,"Computers, Environment and Urban Systems",10.1016/j.compenvurbsys.2014.11.005
31.pdf,2024,"Computers, Environment and Urban Systems",10.1016/j.compenvurbsys.2024.102147
32.pdf,2025,Land,10.3390/land14061300
33.pdf,2025,Urban Design International,10.1057/s41289-024-00268-x
34.pdf,2025,Communications in Transportation Research,10.1016/j.commtr.2025.100193
35.pdf,2025,Applied Water Science,10.1007/s13201-025-02368-7
36.pdf,2022,Environment and Planning B: Urban Analytics and City Science,10.1177/23998083221100550
37.pdf,2025,International Journal of Human Capital in Urban Management,10.22034/IJHCUM.2025.02.05
38.pdf,2023,Environment and Planning B: Urban Analytics and City Science,10.1177/23998083231154263
39.pdf,2022,Environment and Planning B: Urban Analytics and City Science,10.1177/23998083211064624
40.pdf,2025,Journal of Urban Management,10.1016/j.jum.2024.11.006
41.pdf,2025,Expert Systems with Applications,10.1016/j.eswa.2024.125360
42.pdf,2024,PeerJ Computer Science,10.7717/peerj-cs.2426
43.pdf,2022,Journal of Urban Technology,10.1080/10630732.2021.2001713
44.pdf,2025,Multimedia Tools and Applications,10.1007/s11042-024-20081-6
45.pdf,2024,Science Bulletin,10.1016/j.scib.2024.06.022
46.pdf,2024,DISEGNARECON,10.20365/disegnarecon.33.2024.20
47.pdf,2024,Environment and Planning B: Urban Analytics and City Science,10.1177/23998083231185589
48.pdf,2023,Environment and Planning B: Urban Analytics and City Science,10.1177/23998083221138832
49.pdf,2024,PLoS ONE,10.1371/journal.pone.0300767
50.pdf,2022,Environment and Planning B: Urban Analytics and City Science,10.1177/23998083221083677
51.pdf,2024,Buildings,10.3390/buildings14123950
52.pdf,2023,Advanced Engineering Informatics,10.1016/j.aei.2023.102154
53.pdf,2023,Plan Journal,10.15274/tpj.2023.08.02.5
54.pdf,2019,Landscape and Urban Planning,10.1016/j.landurbplan.2018.09.020
55.pdf,2025,International Journal of Sustainable Building Technology and Urban Development,10.22712/susb.20250014
56.pdf,2024,Buildings,10.3390/buildings14092925
57.pdf,2024,Land,10.3390/land13010057
58.pdf,2021,Journal of Digital Landscape Architecture,10.14627/537705039
59.pdf,2025,Environment and Planning B: Urban Analytics and City Science,10.1177/23998083241262548
60.pdf,2024,Social Sciences,10.3390/socsci13120664
61.pdf,2025,"Computers, Environment and Urban Systems",10.1016/j.compenvurbsys.2024.102243
62.pdf,2024,Heliyon,10.1016/j.heliyon.2024.e37735
63.pdf,2024,Architecture,10.3390/architecture4010008
64.pdf,2008,Environment and Planning B: Planning and Design,10.1068/b34045
65.pdf,2024,Urban Science,10.3390/urbansci8040197
66.pdf,2025,Computational Urban Science,10.1007/s43762-025-00167-z
67.pdf,2024,Journal of Digital Landscape Architecture,10.14627/537752072
68.pdf,2013,International Journal of Agricultural and Environmental Information Systems,10.4018/ijaeis.2013070103
69.pdf,2025,Journal of Urban Planning and Development,10.1061/JUPDDM.UPENG-5316
70.pdf,2025,Land,10.3390/land14050979
71.pdf,2021,Building and Environment,10.1016/j.buildenv.2021.108298
72.pdf,2023,International Journal of Architectural Computing,10.1177/14780771231168223
