"Journal","n_records","source_rank","cumulative_records","cumulative_share","record_share"
"Environment and Planning B: Urban Analytics and City Science",12,1,12,0.166666666666667,0.166666666666667
"Land",6,2,18,0.25,0.0833333333333333
"Building and Environment",4,3,22,0.305555555555556,0.0555555555555556
"Buildings",4,4,26,0.361111111111111,0.0555555555555556
"Computers, Environment and Urban Systems",3,5,29,0.402777777777778,0.0416666666666667
"Journal of Digital Landscape Architecture",3,6,32,0.444444444444444,0.0416666666666667
"Urban Science",3,7,35,0.486111111111111,0.0416666666666667
"Computational Urban Science",2,8,37,0.513888888888889,0.0277777777777778
"Landscape and Urban Planning",2,9,39,0.541666666666667,0.0277777777777778
"Advanced Engineering Informatics",1,10,40,0.555555555555556,0.0138888888888889
"Applied Water Science",1,11,41,0.569444444444444,0.0138888888888889
"Architecture",1,12,42,0.583333333333333,0.0138888888888889
"Communications in Transportation Research",1,13,43,0.597222222222222,0.0138888888888889
"DISEGNARECON",1,14,44,0.611111111111111,0.0138888888888889
"Electronics (Switzerland)",1,15,45,0.625,0.0138888888888889
"Energy and Buildings",1,16,46,0.638888888888889,0.0138888888888889
"Environment and Planning B: Planning and Design",1,17,47,0.652777777777778,0.0138888888888889
"Environmental Science and Ecotechnology",1,18,48,0.666666666666667,0.0138888888888889
"Expert Systems with Applications",1,19,49,0.680555555555556,0.0138888888888889
"GeoJournal",1,20,50,0.694444444444444,0.0138888888888889
"Heliyon",1,21,51,0.708333333333333,0.0138888888888889
"International Journal of Agricultural and Environmental Information Systems",1,22,52,0.722222222222222,0.0138888888888889
"International Journal of Architectural Computing",1,23,53,0.736111111111111,0.0138888888888889
"International Journal of Geographical Information Science",1,24,54,0.75,0.0138888888888889
"International Journal of Human Capital in Urban Management",1,25,55,0.763888888888889,0.0138888888888889
"International Journal of Sustainable Building Technology and Urban Development",1,26,56,0.777777777777778,0.0138888888888889
"Journal of Infrastructure Systems",1,27,57,0.791666666666667,0.0138888888888889
"Journal of Urban Management",1,28,58,0.805555555555556,0.0138888888888889
"Journal of Urban Planning and Development",1,29,59,0.819444444444444,0.0138888888888889
"Journal of Urban Technology",1,30,60,0.833333333333333,0.0138888888888889
"Landscape Ecology",1,31,61,0.847222222222222,0.0138888888888889
"Multimedia Tools and Applications",1,32,62,0.861111111111111,0.0138888888888889
"PLoS ONE",1,33,63,0.875,0.0138888888888889
"PeerJ Computer Science",1,34,64,0.888888888888889,0.0138888888888889
"Plan Journal",1,35,65,0.902777777777778,0.0138888888888889
"Proceedings of the National Academy of Sciences of the United States of America",1,36,66,0.916666666666667,0.0138888888888889
"Results in Engineering",1,37,67,0.930555555555556,0.0138888888888889
"SSRG International Journal of Civil Engineering",1,38,68,0.944444444444444,0.0138888888888889
"Science Bulletin",1,39,69,0.958333333333333,0.0138888888888889
"Scientific Programming",1,40,70,0.972222222222222,0.0138888888888889
"Social Sciences",1,41,71,0.986111111111111,0.0138888888888889
"Urban Design International",1,42,72,1,0.0138888888888889
