"Journal","n_records","T1","T2","T3","T4","T5","T6","T7","T8","source_rank","bradford_zone"
"Advanced Engineering Informatics",1,0.99973291691139,6.53830084913474e-05,1.46762092078723e-05,5.73169225693738e-05,4.05868711166721e-05,3.77730672886208e-05,1.3421764733006e-05,3.79252452038813e-05,10,"Zone 2: intermediate sources"
"Applied Water Science",1,0.999669701211915,8.31032344436582e-05,1.7324657187061e-05,4.41000261490432e-05,7.19976749723618e-05,4.20625240840388e-05,1.5895824185245e-05,5.58148470639976e-05,11,"Zone 2: intermediate sources"
"Architecture",1,0.000198452979087771,0.999328044537667,7.1255235163755e-05,4.45321641376733e-05,3.44503730056113e-05,4.75054143880501e-05,7.57609559425192e-05,0.000199998340607185,12,"Zone 2: intermediate sources"
"Building and Environment",4,0.00138894955826495,8.31166345442551e-05,7.29962033715498e-05,0.248597342362396,6.456024847703e-05,0.249710538731401,0.249916546668173,0.250165949593373,3,"Zone 1: core sources"
"Buildings",4,8.20683009721154e-05,0.494224291283231,0.255438584510501,4.41492705685749e-05,7.46637373194507e-05,0.249979333121282,6.50757598280642e-05,9.18340162977864e-05,4,"Zone 1: core sources"
"Communications in Transportation Research",1,9.54251047743495e-05,0.000125468583075661,0.992698288089014,8.90270713872378e-05,0.000135543098374989,9.92926261971316e-05,0.000169269845355383,0.00658768558182188,13,"Zone 2: intermediate sources"
"Computational Urban Science",2,0.410776574515284,0.000523779699332109,0.00351732304732183,0.0617242834702666,0.0206536444550317,0.000647701969845422,0.00188164131955679,0.500275051523362,8,"Zone 2: intermediate sources"
"Computers, Environment and Urban Systems",3,0.00600523405143927,8.9432148076395e-05,5.55202837177466e-05,7.52347072949978e-05,0.327223697134889,6.20884662563922e-05,0.333262268347609,0.333226524860717,5,"Zone 2: intermediate sources"
"DISEGNARECON",1,0.000177819942911133,0.000124714112635861,6.3628400888403e-05,0.000152367080274822,3.61692471548484e-05,0.998881357153386,4.62502019963256e-05,0.000517693860752347,14,"Zone 2: intermediate sources"
"Electronics (Switzerland)",1,0.998867706035728,0.000247675423915435,5.27885599484445e-05,0.000364825576481619,0.000116603767954509,0.000140941559387485,4.79053267838123e-05,0.000161553749800985,15,"Zone 2: intermediate sources"
"Energy and Buildings",1,0.940416454627949,0.00370577830783013,0.0213825079149003,0.0176040854902742,0.0002476961645382,0.0100418393960861,0.00569976976978657,0.000901868328635681,16,"Zone 2: intermediate sources"
"Environment and Planning B: Planning and Design",1,3.17802694101189e-06,3.84047262276868e-05,0.00014305994014797,0.998849847121532,0.00025398530566853,0.000509842962854893,0.000196708518617438,4.97339800944965e-06,17,"Zone 2: intermediate sources"
"Environment and Planning B: Urban Analytics and City Science",12,0.0035051493317187,0.123660562644849,0.170327289093302,0.000128200592176998,0.173235456182844,0.0833883183462498,0.245075231254277,0.200679792554583,1,"Zone 1: core sources"
"Environmental Science and Ecotechnology",1,0.999272295830888,0.000166775404419046,4.26838205401624e-05,0.00012805069218802,8.78551077356269e-05,0.000105850560914742,3.32817208771058e-05,0.000163206862437501,18,"Zone 2: intermediate sources"
"Expert Systems with Applications",1,0.000162931909771789,6.05572724069646e-05,4.63692020439461e-05,3.01005924990592e-05,0.999360230991594,2.65507445333682e-05,9.56334738295281e-05,0.000217625813321546,19,"Zone 3: peripheral sources"
"GeoJournal",1,0.994792995853596,0.000320026162197305,6.12307292053375e-05,0.000298984572397474,0.00010440661006769,0.00420706216562482,5.25379604048705e-05,0.000162755946506552,20,"Zone 3: peripheral sources"
"Heliyon",1,8.34598968619687e-05,0.000148551902899043,8.34087429642274e-05,3.01332421387425e-05,0.000141975834668304,4.60839985274879e-05,0.99932351047932,0.000142875902620305,21,"Zone 3: peripheral sources"
"International Journal of Agricultural and Environmental Information Systems",1,5.88218936182744e-06,3.37477968438516e-05,4.28633716019223e-05,0.000147771558892107,4.09015376682089e-05,0.999633286030299,6.16959014459715e-05,3.38516138859488e-05,22,"Zone 3: peripheral sources"
"International Journal of Architectural Computing",1,0.896012475351989,0.101113936184164,0.000191648189359154,0.00027161374992034,0.000294882348139563,0.000337735172312355,0.000292961021154007,0.00148474798296159,23,"Zone 3: peripheral sources"
"International Journal of Geographical Information Science",1,0.999198701506211,0.000217241808150653,3.32603055829244e-05,9.53359933566157e-05,0.000127524317210584,8.54051082661585e-05,4.21055635148685e-05,0.000200425397707304,24,"Zone 3: peripheral sources"
"International Journal of Human Capital in Urban Management",1,0.000155322424095799,0.99958512238688,3.86638182237379e-05,2.34336954943603e-05,1.77192712128894e-05,2.98828640989961e-05,5.2385161707811e-05,9.74703782858669e-05,25,"Zone 3: peripheral sources"
"International Journal of Sustainable Building Technology and Urban Development",1,0.0183249597879122,0.0652347990245195,0.000193796325374633,0.000114069401350593,0.000378909203058864,0.000158134254742275,0.000220314950335267,0.915375017052707,26,"Zone 3: peripheral sources"
"Journal of Digital Landscape Architecture",3,0.000385682439495743,0.333174317644047,0.000847187689764871,0.333397824618346,0.000124962994375011,0.200566572473261,0.000162290825978871,0.131341161314733,6,"Zone 2: intermediate sources"
"Journal of Infrastructure Systems",1,4.70626726739239e-05,2.1310224788333e-05,4.34978771973326e-05,4.36762024217737e-05,0.999691624783731,2.78886902215837e-05,7.18626367576743e-05,5.30769122073949e-05,27,"Zone 3: peripheral sources"
"Journal of Urban Management",1,6.22235162637916e-05,8.25959790981588e-05,3.66846403523323e-05,1.31954839648516e-05,4.48388158983534e-05,6.00457646559116e-05,3.22865410481783e-05,0.999668129258718,28,"Zone 3: peripheral sources"
"Journal of Urban Planning and Development",1,5.05464518790178e-05,6.87328560081997e-05,4.024713225639e-05,1.44803687415788e-05,6.50856575275348e-05,8.63331084140444e-05,3.80626689526539e-05,0.99963651175622,29,"Zone 3: peripheral sources"
"Journal of Urban Technology",1,0.95606100844474,0.0383281914227425,0.000204334055633071,0.000240256815028631,0.00473390575148913,0.000128384851282408,0.000122810459370203,0.000181108199714541,30,"Zone 3: peripheral sources"
"Land",6,0.000144157222563807,0.499174735644604,5.23698997924215e-05,0.166656065477524,2.50396283407331e-05,0.166548853744571,3.38047814402002e-05,0.167364973601163,2,"Zone 1: core sources"
"Landscape Ecology",1,0.000167736835582685,6.62501315669316e-05,4.77396022465656e-05,0.999518410485933,2.62391024053015e-05,5.85678696554309e-05,2.74536406236424e-05,8.76023319865641e-05,31,"Zone 3: peripheral sources"
"Landscape and Urban Planning",2,0.000972255786774657,0.000166845358255083,0.000160177811469515,0.000122207694070464,0.000404708854016142,0.0117327496713875,0.000173545220334668,0.986267509603692,9,"Zone 2: intermediate sources"
"Multimedia Tools and Applications",1,0.999793954314874,5.67929242746577e-05,1.03266931718725e-05,3.68839258099305e-05,2.8366007456552e-05,2.56032644425134e-05,1.0818714118659e-05,3.72541558519801e-05,32,"Zone 3: peripheral sources"
"PLoS ONE",1,0.999644916181027,0.000104070976565246,1.9202499905056e-05,5.85321857756122e-05,5.11656528016877e-05,4.26673962222635e-05,1.77499754686996e-05,6.16951322342964e-05,33,"Zone 3: peripheral sources"
"PeerJ Computer Science",1,0.273792411892437,0.710390937593673,0.000181035332108223,0.000226915284727622,0.000106299678070374,0.0147801471836288,0.000138927309069113,0.000383325726286074,34,"Zone 3: peripheral sources"
"Plan Journal",1,0.000259382409063123,0.000207828904007001,0.000133793667266648,0.9990498295139,8.86991773991745e-05,0.000100586025671127,7.70949230557259e-05,8.27853796372003e-05,35,"Zone 3: peripheral sources"
"Proceedings of the National Academy of Sciences of the United States of America",1,8.70224457376292e-05,2.42044000485652e-05,2.67393035712235e-05,1.61640232396732e-05,0.999710260611868,1.09372197336897e-05,5.98238538627382e-05,6.4848141939673e-05,36,"Zone 3: peripheral sources"
"Results in Engineering",1,0.000421859467213344,0.000109198937878161,0.000136178695526778,5.76628079689443e-05,0.998824588877294,4.33841050705672e-05,0.000171399057621389,0.000235728051427345,37,"Zone 3: peripheral sources"
"SSRG International Journal of Civil Engineering",1,0.000502628452488264,0.000864697552827325,0.000250811128611047,0.000114872003846639,0.363808674576633,0.000127139917614656,0.633728211378266,0.000602964989712767,38,"Zone 3: peripheral sources"
"Science Bulletin",1,0.00482964606620186,0.00024256983736474,0.000421576089267471,0.0273450988658884,0.000198571717958774,0.849623358271877,0.000167034157566313,0.117172144993876,39,"Zone 3: peripheral sources"
"Scientific Programming",1,0.00535773347279242,0.136611363018288,0.0540023380839275,0.263226896540757,0.000347153321216023,0.533288175412234,0.000569128115334592,0.00659721203544952,40,"Zone 3: peripheral sources"
"Social Sciences",1,7.09463792441448e-05,4.70526121157183e-05,2.87061644500116e-05,3.27514036982177e-05,2.13775246673123e-05,0.99968557949463,2.15368929342345e-05,9.20495282601827e-05,41,"Zone 3: peripheral sources"
"Urban Design International",1,0.00012626630366631,0.00958349526007018,6.98343309724911e-05,2.45312878255821e-05,6.47848151417905e-05,3.41732065235646e-05,0.98988878606372,0.00020812873207856,42,"Zone 3: peripheral sources"
"Urban Science",3,0.000291728600111353,0.333246634133381,0.0024179156653619,0.00428487022259427,0.639646576041125,0.000113382064630177,0.000116228549861479,0.0198826647229348,7,"Zone 2: intermediate sources"
