"threshold","from","to","r","abs_r","sign","edge_id"
0.05,"T1","T2",-0.173805840685392,0.173805840685392,"negative","T1--T2"
0.05,"T1","T3",-0.112282304317196,0.112282304317196,"negative","T1--T3"
0.05,"T1","T4",-0.13192176590164,0.13192176590164,"negative","T1--T4"
0.05,"T1","T5",-0.177132492707027,0.177132492707027,"negative","T1--T5"
0.05,"T1","T6",-0.179693317022355,0.179693317022355,"negative","T1--T6"
0.05,"T1","T7",-0.157212211578231,0.157212211578231,"negative","T1--T7"
0.05,"T1","T8",-0.212512992628043,0.212512992628043,"negative","T1--T8"
0.05,"T2","T3",-0.110102460597517,0.110102460597517,"negative","T2--T3"
0.05,"T2","T4",-0.142447139020876,0.142447139020876,"negative","T2--T4"
0.05,"T2","T5",-0.181587341002719,0.181587341002719,"negative","T2--T5"
0.05,"T2","T6",-0.170166641240333,0.170166641240333,"negative","T2--T6"
0.05,"T2","T7",-0.159209183813052,0.159209183813052,"negative","T2--T7"
0.05,"T2","T8",-0.177190365643049,0.177190365643049,"negative","T2--T8"
0.05,"T3","T4",-0.0783090179434809,0.0783090179434809,"negative","T3--T4"
0.05,"T3","T5",-0.0993220494352933,0.0993220494352933,"negative","T3--T5"
0.05,"T3","T6",-0.0941942853111443,0.0941942853111443,"negative","T3--T6"
0.05,"T3","T7",-0.0800548169607929,0.0800548169607929,"negative","T3--T7"
0.05,"T3","T8",-0.116048785107721,0.116048785107721,"negative","T3--T8"
0.05,"T4","T5",-0.126329252275024,0.126329252275024,"negative","T4--T5"
0.05,"T4","T6",-0.102015692011724,0.102015692011724,"negative","T4--T6"
0.05,"T4","T7",-0.113907328673128,0.113907328673128,"negative","T4--T7"
0.05,"T4","T8",-0.149865345184086,0.149865345184086,"negative","T4--T8"
0.05,"T5","T6",-0.157735319717797,0.157735319717797,"negative","T5--T6"
0.05,"T5","T7",-0.107115763429255,0.107115763429255,"negative","T5--T7"
0.05,"T5","T8",-0.170276429533292,0.170276429533292,"negative","T5--T8"
0.05,"T6","T7",-0.139467607847165,0.139467607847165,"negative","T6--T7"
0.05,"T6","T8",-0.139352253454972,0.139352253454972,"negative","T6--T8"
0.05,"T7","T8",-0.16117299626957,0.16117299626957,"negative","T7--T8"
0.1,"T1","T2",-0.173805840685392,0.173805840685392,"negative","T1--T2"
0.1,"T1","T3",-0.112282304317196,0.112282304317196,"negative","T1--T3"
0.1,"T1","T4",-0.13192176590164,0.13192176590164,"negative","T1--T4"
0.1,"T1","T5",-0.177132492707027,0.177132492707027,"negative","T1--T5"
0.1,"T1","T6",-0.179693317022355,0.179693317022355,"negative","T1--T6"
0.1,"T1","T7",-0.157212211578231,0.157212211578231,"negative","T1--T7"
0.1,"T1","T8",-0.212512992628043,0.212512992628043,"negative","T1--T8"
0.1,"T2","T3",-0.110102460597517,0.110102460597517,"negative","T2--T3"
0.1,"T2","T4",-0.142447139020876,0.142447139020876,"negative","T2--T4"
0.1,"T2","T5",-0.181587341002719,0.181587341002719,"negative","T2--T5"
0.1,"T2","T6",-0.170166641240333,0.170166641240333,"negative","T2--T6"
0.1,"T2","T7",-0.159209183813052,0.159209183813052,"negative","T2--T7"
0.1,"T2","T8",-0.177190365643049,0.177190365643049,"negative","T2--T8"
0.1,"T3","T8",-0.116048785107721,0.116048785107721,"negative","T3--T8"
0.1,"T4","T5",-0.126329252275024,0.126329252275024,"negative","T4--T5"
0.1,"T4","T6",-0.102015692011724,0.102015692011724,"negative","T4--T6"
0.1,"T4","T7",-0.113907328673128,0.113907328673128,"negative","T4--T7"
0.1,"T4","T8",-0.149865345184086,0.149865345184086,"negative","T4--T8"
0.1,"T5","T6",-0.157735319717797,0.157735319717797,"negative","T5--T6"
0.1,"T5","T7",-0.107115763429255,0.107115763429255,"negative","T5--T7"
0.1,"T5","T8",-0.170276429533292,0.170276429533292,"negative","T5--T8"
0.1,"T6","T7",-0.139467607847165,0.139467607847165,"negative","T6--T7"
0.1,"T6","T8",-0.139352253454972,0.139352253454972,"negative","T6--T8"
0.1,"T7","T8",-0.16117299626957,0.16117299626957,"negative","T7--T8"
0.2,"T1","T8",-0.212512992628043,0.212512992628043,"negative","T1--T8"
