"chain","seed","lda_topic","rank","term"
2,322,"LDA_T1",1,"cluster"
2,322,"LDA_T1",2,"urban"
2,322,"LDA_T1",3,"build"
2,322,"LDA_T1",4,"citi"
2,322,"LDA_T1",5,"type"
2,322,"LDA_T1",6,"network"
2,322,"LDA_T1",7,"use"
2,322,"LDA_T1",8,"model"
2,322,"LDA_T1",9,"shape"
2,322,"LDA_T1",10,"parcel"
2,322,"LDA_T1",11,"area"
2,322,"LDA_T1",12,"classif"
2,322,"LDA_T1",13,"class"
2,322,"LDA_T1",14,"map"
2,322,"LDA_T1",15,"spatial"
2,322,"LDA_T1",16,"block"
2,322,"LDA_T1",17,"road"
2,322,"LDA_T1",18,"structur"
2,322,"LDA_T1",19,"surfac"
2,322,"LDA_T1",20,"predict"
2,322,"LDA_T2",1,"design"
2,322,"LDA_T2",2,"emot"
2,322,"LDA_T2",3,"space"
2,322,"LDA_T2",4,"urban"
2,322,"LDA_T2",5,"figur"
2,322,"LDA_T2",6,"generat"
2,322,"LDA_T2",7,"crossref"
2,322,"LDA_T2",8,"landscap"
2,322,"LDA_T2",9,"build"
2,322,"LDA_T2",10,"evalu"
2,322,"LDA_T2",11,"element"
2,322,"LDA_T2",12,"environ"
2,322,"LDA_T2",13,"visual"
2,322,"LDA_T2",14,"effect"
2,322,"LDA_T2",15,"valu"
2,322,"LDA_T2",16,"street"
2,322,"LDA_T2",17,"result"
2,322,"LDA_T2",18,"score"
2,322,"LDA_T2",19,"public"
2,322,"LDA_T2",20,"data"
2,322,"LDA_T3",1,"urban"
2,322,"LDA_T3",2,"plan"
2,322,"LDA_T3",3,"data"
2,322,"LDA_T3",4,"design"
2,322,"LDA_T3",5,"citi"
2,322,"LDA_T3",6,"develop"
2,322,"LDA_T3",7,"spatial"
2,322,"LDA_T3",8,"approach"
2,322,"LDA_T3",9,"materi"
2,322,"LDA_T3",10,"integr"
2,322,"LDA_T3",11,"technolog"
2,322,"LDA_T3",12,"architectur"
2,322,"LDA_T3",13,"model"
2,322,"LDA_T3",14,"process"
2,322,"LDA_T3",15,"sustain"
2,322,"LDA_T3",16,"pattern"
2,322,"LDA_T3",17,"land"
2,322,"LDA_T3",18,"learn"
2,322,"LDA_T3",19,"histor"
2,322,"LDA_T3",20,"sprawl"
2,322,"LDA_T4",1,"landscap"
2,322,"LDA_T4",2,"tree"
2,322,"LDA_T4",3,"plant"
2,322,"LDA_T4",4,"use"
2,322,"LDA_T4",5,"cubixel"
2,322,"LDA_T4",6,"veget"
2,322,"LDA_T4",7,"point"
2,322,"LDA_T4",8,"data"
2,322,"LDA_T4",9,"natur"
2,322,"LDA_T4",10,"springer"
2,322,"LDA_T4",11,"area"
2,322,"LDA_T4",12,"map"
2,322,"LDA_T4",13,"content"
2,322,"LDA_T4",14,"palm"
2,322,"LDA_T4",15,"system"
2,322,"LDA_T4",16,"process"
2,322,"LDA_T4",17,"appli"
2,322,"LDA_T4",18,"infest"
2,322,"LDA_T4",19,"approach"
2,322,"LDA_T4",20,"attribut"
2,322,"LDA_T5",1,"model"
2,322,"LDA_T5",2,"imag"
2,322,"LDA_T5",3,"use"
2,322,"LDA_T5",4,"data"
2,322,"LDA_T5",5,"generat"
2,322,"LDA_T5",6,"train"
2,322,"LDA_T5",7,"learn"
2,322,"LDA_T5",8,"result"
2,322,"LDA_T5",9,"dataset"
2,322,"LDA_T5",10,"method"
2,322,"LDA_T5",11,"network"
2,322,"LDA_T5",12,"featur"
2,322,"LDA_T5",13,"segment"
2,322,"LDA_T5",14,"comput"
2,322,"LDA_T5",15,"accuraci"
2,322,"LDA_T5",16,"deep"
2,322,"LDA_T5",17,"perform"
2,322,"LDA_T5",18,"urban"
2,322,"LDA_T5",19,"process"
