"chain","seed","lda_topic","rank","term"
1,321,"LDA_T1",1,"landscap"
1,321,"LDA_T1",2,"network"
1,321,"LDA_T1",3,"model"
1,321,"LDA_T1",4,"node"
1,321,"LDA_T1",5,"path"
1,321,"LDA_T1",6,"data"
1,321,"LDA_T1",7,"valu"
1,321,"LDA_T1",8,"use"
1,321,"LDA_T1",9,"differ"
1,321,"LDA_T1",10,"histor"
1,321,"LDA_T1",11,"represent"
1,321,"LDA_T1",12,"characterist"
1,321,"LDA_T1",13,"cultur"
1,321,"LDA_T1",14,"neighborhood"
1,321,"LDA_T1",15,"indic"
1,321,"LDA_T1",16,"factor"
1,321,"LDA_T1",17,"figur"
1,321,"LDA_T1",18,"connect"
1,321,"LDA_T1",19,"heritag"
1,321,"LDA_T1",20,"area"
1,321,"LDA_T2",1,"design"
1,321,"LDA_T2",2,"emot"
1,321,"LDA_T2",3,"space"
1,321,"LDA_T2",4,"color"
1,321,"LDA_T2",5,"urban"
1,321,"LDA_T2",6,"element"
1,321,"LDA_T2",7,"crossref"
1,321,"LDA_T2",8,"visual"
1,321,"LDA_T2",9,"effect"
1,321,"LDA_T2",10,"valu"
1,321,"LDA_T2",11,"figur"
1,321,"LDA_T2",12,"environ"
1,321,"LDA_T2",13,"featur"
1,321,"LDA_T2",14,"set"
1,321,"LDA_T2",15,"evalu"
1,321,"LDA_T2",16,"qualiti"
1,321,"LDA_T2",17,"data"
1,321,"LDA_T2",18,"salienc"
1,321,"LDA_T2",19,"optim"
1,321,"LDA_T2",20,"predict"
1,321,"LDA_T3",1,"urban"
1,321,"LDA_T3",2,"build"
1,321,"LDA_T3",3,"citi"
1,321,"LDA_T3",4,"area"
1,321,"LDA_T3",5,"landscap"
1,321,"LDA_T3",6,"point"
1,321,"LDA_T3",7,"indic"
1,321,"LDA_T3",8,"green"
1,321,"LDA_T3",9,"veget"
1,321,"LDA_T3",10,"tree"
1,321,"LDA_T3",11,"environ"
1,321,"LDA_T3",12,"spatial"
1,321,"LDA_T3",13,"develop"
1,321,"LDA_T3",14,"land"
1,321,"LDA_T3",15,"data"
1,321,"LDA_T3",16,"distribut"
1,321,"LDA_T3",17,"sprawl"
1,321,"LDA_T3",18,"materi"
1,321,"LDA_T3",19,"plant"
1,321,"LDA_T3",20,"structur"
1,321,"LDA_T4",1,"urban"
1,321,"LDA_T4",2,"street"
1,321,"LDA_T4",3,"imag"
1,321,"LDA_T4",4,"view"
1,321,"LDA_T4",5,"environ"
1,321,"LDA_T4",6,"percept"
1,321,"LDA_T4",7,"visual"
1,321,"LDA_T4",8,"use"
1,321,"LDA_T4",9,"citi"
1,321,"LDA_T4",10,"road"
1,321,"LDA_T4",11,"space"
1,321,"LDA_T4",12,"measur"
1,321,"LDA_T4",13,"rate"
1,321,"LDA_T4",14,"qualiti"
1,321,"LDA_T4",15,"featur"
1,321,"LDA_T4",16,"indic"
1,321,"LDA_T4",17,"area"
1,321,"LDA_T4",18,"safeti"
1,321,"LDA_T4",19,"studi"
1,321,"LDA_T4",20,"public"
1,321,"LDA_T5",1,"cluster"
1,321,"LDA_T5",2,"citi"
1,321,"LDA_T5",3,"type"
1,321,"LDA_T5",4,"model"
1,321,"LDA_T5",5,"urban"
1,321,"LDA_T5",6,"use"
1,321,"LDA_T5",7,"data"
1,321,"LDA_T5",8,"build"
1,321,"LDA_T5",9,"predict"
1,321,"LDA_T5",10,"parcel"
1,321,"LDA_T5",11,"shape"
1,321,"LDA_T5",12,"network"
1,321,"LDA_T5",13,"spatial"
1,321,"LDA_T5",14,"area"
1,321,"LDA_T5",15,"result"
1,321,"LDA_T5",16,"classif"
1,321,"LDA_T5",17,"neural"
1,321,"LDA_T5",18,"road"
1,321,"LDA_T5",19,"imageri"
1,321,"LDA_T5",20,"signatur"
1,321,"LDA_T6",1,"urban"
1,321,"LDA_T6",2,"design"
1,321,"LDA_T6",3,"plan"
1,321,"LDA_T6",4,"data"
1,321,"LDA_T6",5,"generat"
1,321,"LDA_T6",6,"system"
1,321,"LDA_T6",7,"public"
1,321,"LDA_T6",8,"approach"
1,321,"LDA_T6",9,"develop"
1,321,"LDA_T6",10,"process"
1,321,"LDA_T6",11,"use"
1,321,"LDA_T6",12,"citi"
1,321,"LDA_T6",13,"architectur"
1,321,"LDA_T6",14,"area"
1,321,"LDA_T6",15,"figur"
1,321,"LDA_T6",16,"build"
1,321,"LDA_T6",17,"technolog"
1,321,"LDA_T6",18,"inform"
1,321,"LDA_T6",19,"activ"
1,321,"LDA_T6",20,"comput"
1,321,"LDA_T7",1,"model"
1,321,"LDA_T7",2,"imag"
1,321,"LDA_T7",3,"generat"
1,321,"LDA_T7",4,"use"
1,321,"LDA_T7",5,"data"
1,321,"LDA_T7",6,"train"
1,321,"LDA_T7",7,"learn"
1,321,"LDA_T7",8,"dataset"
1,321,"LDA_T7",9,"segment"
1,321,"LDA_T7",10,"method"
1,321,"LDA_T7",11,"result"
1,321,"LDA_T7",12,"network"
1,321,"LDA_T7",13,"featur"
1,321,"LDA_T7",14,"deep"
1,321,"LDA_T7",15,"street"
1,321,"LDA_T7",16,"comput"
1,321,"LDA_T7",17,"accuraci"
1,321,"LDA_T7",18,"propos"
1,321,"LDA_T7",19,"layer"
1,321,"LDA_T7",20,"process"
1,321,"LDA_T8",1,"model"
1,321,"LDA_T8",2,"predict"
1,321,"LDA_T8",3,"data"
1,321,"LDA_T8",4,"use"
1,321,"LDA_T8",5,"featur"
1,321,"LDA_T8",6,"thermal"
1,321,"LDA_T8",7,"locat"
1,321,"LDA_T8",8,"valu"
1,321,"LDA_T8",9,"variabl"
1,321,"LDA_T8",10,"choic"
1,321,"LDA_T8",11,"water"
1,321,"LDA_T8",12,"fig"
1,321,"LDA_T8",13,"accuraci"
1,321,"LDA_T8",14,"result"
1,321,"LDA_T8",15,"citi"
1,321,"LDA_T8",16,"mobil"
1,321,"LDA_T8",17,"comfort"
1,321,"LDA_T8",18,"method"
1,321,"LDA_T8",19,"transport"
1,321,"LDA_T8",20,"individu"
2,322,"LDA_T1",1,"cluster"
2,322,"LDA_T1",2,"urban"
2,322,"LDA_T1",3,"build"
2,322,"LDA_T1",4,"citi"
2,322,"LDA_T1",5,"type"
2,322,"LDA_T1",6,"network"
2,322,"LDA_T1",7,"use"
2,322,"LDA_T1",8,"model"
2,322,"LDA_T1",9,"shape"
2,322,"LDA_T1",10,"parcel"
2,322,"LDA_T1",11,"area"
2,322,"LDA_T1",12,"classif"
2,322,"LDA_T1",13,"class"
2,322,"LDA_T1",14,"map"
2,322,"LDA_T1",15,"spatial"
2,322,"LDA_T1",16,"block"
2,322,"LDA_T1",17,"road"
2,322,"LDA_T1",18,"structur"
2,322,"LDA_T1",19,"surfac"
2,322,"LDA_T1",20,"predict"
2,322,"LDA_T2",1,"design"
2,322,"LDA_T2",2,"emot"
2,322,"LDA_T2",3,"space"
2,322,"LDA_T2",4,"urban"
2,322,"LDA_T2",5,"figur"
2,322,"LDA_T2",6,"generat"
2,322,"LDA_T2",7,"crossref"
2,322,"LDA_T2",8,"landscap"
2,322,"LDA_T2",9,"build"
2,322,"LDA_T2",10,"evalu"
2,322,"LDA_T2",11,"element"
2,322,"LDA_T2",12,"environ"
2,322,"LDA_T2",13,"visual"
2,322,"LDA_T2",14,"effect"
2,322,"LDA_T2",15,"valu"
2,322,"LDA_T2",16,"street"
2,322,"LDA_T2",17,"result"
2,322,"LDA_T2",18,"score"
2,322,"LDA_T2",19,"public"
2,322,"LDA_T2",20,"data"
2,322,"LDA_T3",1,"urban"
2,322,"LDA_T3",2,"plan"
2,322,"LDA_T3",3,"data"
2,322,"LDA_T3",4,"design"
2,322,"LDA_T3",5,"citi"
2,322,"LDA_T3",6,"develop"
2,322,"LDA_T3",7,"spatial"
2,322,"LDA_T3",8,"approach"
2,322,"LDA_T3",9,"materi"
2,322,"LDA_T3",10,"integr"
2,322,"LDA_T3",11,"technolog"
2,322,"LDA_T3",12,"architectur"
2,322,"LDA_T3",13,"model"
2,322,"LDA_T3",14,"process"
2,322,"LDA_T3",15,"sustain"
2,322,"LDA_T3",16,"pattern"
2,322,"LDA_T3",17,"land"
2,322,"LDA_T3",18,"learn"
2,322,"LDA_T3",19,"histor"
2,322,"LDA_T3",20,"sprawl"
2,322,"LDA_T4",1,"landscap"
2,322,"LDA_T4",2,"tree"
2,322,"LDA_T4",3,"plant"
2,322,"LDA_T4",4,"use"
2,322,"LDA_T4",5,"cubixel"
2,322,"LDA_T4",6,"veget"
2,322,"LDA_T4",7,"point"
2,322,"LDA_T4",8,"data"
2,322,"LDA_T4",9,"natur"
2,322,"LDA_T4",10,"springer"
2,322,"LDA_T4",11,"area"
2,322,"LDA_T4",12,"map"
2,322,"LDA_T4",13,"content"
2,322,"LDA_T4",14,"palm"
2,322,"LDA_T4",15,"system"
2,322,"LDA_T4",16,"process"
2,322,"LDA_T4",17,"appli"
2,322,"LDA_T4",18,"infest"
2,322,"LDA_T4",19,"approach"
2,322,"LDA_T4",20,"attribut"
2,322,"LDA_T5",1,"model"
2,322,"LDA_T5",2,"imag"
2,322,"LDA_T5",3,"use"
2,322,"LDA_T5",4,"data"
2,322,"LDA_T5",5,"generat"
2,322,"LDA_T5",6,"train"
2,322,"LDA_T5",7,"learn"
2,322,"LDA_T5",8,"result"
2,322,"LDA_T5",9,"dataset"
2,322,"LDA_T5",10,"method"
2,322,"LDA_T5",11,"network"
2,322,"LDA_T5",12,"featur"
2,322,"LDA_T5",13,"segment"
2,322,"LDA_T5",14,"comput"
2,322,"LDA_T5",15,"accuraci"
2,322,"LDA_T5",16,"deep"
2,322,"LDA_T5",17,"perform"
2,322,"LDA_T5",18,"urban"
2,322,"LDA_T5",19,"process"
2,322,"LDA_T5",20,"street"
2,322,"LDA_T6",1,"urban"
2,322,"LDA_T6",2,"street"
2,322,"LDA_T6",3,"imag"
2,322,"LDA_T6",4,"visual"
2,322,"LDA_T6",5,"view"
2,322,"LDA_T6",6,"environ"
2,322,"LDA_T6",7,"citi"
2,322,"LDA_T6",8,"percept"
2,322,"LDA_T6",9,"landscap"
2,322,"LDA_T6",10,"featur"
2,322,"LDA_T6",11,"road"
2,322,"LDA_T6",12,"color"
2,322,"LDA_T6",13,"green"
2,322,"LDA_T6",14,"model"
2,322,"LDA_T6",15,"space"
2,322,"LDA_T6",16,"indic"
2,322,"LDA_T6",17,"qualiti"
2,322,"LDA_T6",18,"area"
2,322,"LDA_T6",19,"element"
2,322,"LDA_T6",20,"build"
2,322,"LDA_T7",1,"environ"
2,322,"LDA_T7",2,"use"
2,322,"LDA_T7",3,"rate"
2,322,"LDA_T7",4,"influenc"
2,322,"LDA_T7",5,"neighborhood"
2,322,"LDA_T7",6,"respons"
2,322,"LDA_T7",7,"stress"
2,322,"LDA_T7",8,"natur"
2,322,"LDA_T7",9,"space"
2,322,"LDA_T7",10,"particip"
2,322,"LDA_T7",11,"view"
2,322,"LDA_T7",12,"soundscap"
2,322,"LDA_T7",13,"variabl"
2,322,"LDA_T7",14,"walk"
2,322,"LDA_T7",15,"factor"
2,322,"LDA_T7",16,"art"
2,322,"LDA_T7",17,"model"
2,322,"LDA_T7",18,"spatial"
2,322,"LDA_T7",19,"negat"
2,322,"LDA_T7",20,"qualiti"
2,322,"LDA_T8",1,"model"
2,322,"LDA_T8",2,"data"
2,322,"LDA_T8",3,"urban"
2,322,"LDA_T8",4,"citi"
2,322,"LDA_T8",5,"predict"
2,322,"LDA_T8",6,"locat"
2,322,"LDA_T8",7,"mobil"
2,322,"LDA_T8",8,"use"
2,322,"LDA_T8",9,"transport"
2,322,"LDA_T8",10,"activ"
2,322,"LDA_T8",11,"area"
2,322,"LDA_T8",12,"choic"
2,322,"LDA_T8",13,"variabl"
2,322,"LDA_T8",14,"network"
2,322,"LDA_T8",15,"scienc"
2,322,"LDA_T8",16,"featur"
2,322,"LDA_T8",17,"level"
2,322,"LDA_T8",18,"spatial"
2,322,"LDA_T8",19,"result"
2,322,"LDA_T8",20,"high"
3,323,"LDA_T1",1,"model"
3,323,"LDA_T1",2,"imag"
3,323,"LDA_T1",3,"use"
3,323,"LDA_T1",4,"generat"
3,323,"LDA_T1",5,"data"
3,323,"LDA_T1",6,"network"
3,323,"LDA_T1",7,"urban"
3,323,"LDA_T1",8,"train"
3,323,"LDA_T1",9,"result"
3,323,"LDA_T1",10,"learn"
3,323,"LDA_T1",11,"dataset"
3,323,"LDA_T1",12,"build"
3,323,"LDA_T1",13,"street"
3,323,"LDA_T1",14,"method"
3,323,"LDA_T1",15,"comput"
3,323,"LDA_T1",16,"propos"
3,323,"LDA_T1",17,"deep"
3,323,"LDA_T1",18,"segment"
3,323,"LDA_T1",19,"accuraci"
3,323,"LDA_T1",20,"input"
3,323,"LDA_T2",1,"landscap"
3,323,"LDA_T2",2,"model"
3,323,"LDA_T2",3,"data"
3,323,"LDA_T2",4,"valu"
3,323,"LDA_T2",5,"featur"
3,323,"LDA_T2",6,"indic"
3,323,"LDA_T2",7,"use"
3,323,"LDA_T2",8,"water"
3,323,"LDA_T2",9,"set"
3,323,"LDA_T2",10,"build"
3,323,"LDA_T2",11,"sampl"
3,323,"LDA_T2",12,"figur"
3,323,"LDA_T2",13,"histor"
3,323,"LDA_T2",14,"area"
3,323,"LDA_T2",15,"optim"
3,323,"LDA_T2",16,"method"
3,323,"LDA_T2",17,"decis"
3,323,"LDA_T2",18,"result"
3,323,"LDA_T2",19,"characterist"
3,323,"LDA_T2",20,"prefer"
3,323,"LDA_T3",1,"urban"
3,323,"LDA_T3",2,"citi"
3,323,"LDA_T3",3,"build"
3,323,"LDA_T3",4,"network"
3,323,"LDA_T3",5,"use"
3,323,"LDA_T3",6,"area"
3,323,"LDA_T3",7,"distribut"
3,323,"LDA_T3",8,"model"
