"chain","seed","lda_topic","rank","term"
3,323,"LDA_T1",1,"model"
3,323,"LDA_T1",2,"imag"
3,323,"LDA_T1",3,"use"
3,323,"LDA_T1",4,"generat"
3,323,"LDA_T1",5,"data"
3,323,"LDA_T1",6,"network"
3,323,"LDA_T1",7,"urban"
3,323,"LDA_T1",8,"train"
3,323,"LDA_T1",9,"result"
3,323,"LDA_T1",10,"learn"
3,323,"LDA_T1",11,"dataset"
3,323,"LDA_T1",12,"build"
3,323,"LDA_T1",13,"street"
3,323,"LDA_T1",14,"method"
3,323,"LDA_T1",15,"comput"
3,323,"LDA_T1",16,"propos"
3,323,"LDA_T1",17,"deep"
3,323,"LDA_T1",18,"segment"
3,323,"LDA_T1",19,"accuraci"
3,323,"LDA_T1",20,"input"
3,323,"LDA_T2",1,"landscap"
3,323,"LDA_T2",2,"model"
3,323,"LDA_T2",3,"data"
3,323,"LDA_T2",4,"valu"
3,323,"LDA_T2",5,"featur"
3,323,"LDA_T2",6,"indic"
3,323,"LDA_T2",7,"use"
3,323,"LDA_T2",8,"water"
3,323,"LDA_T2",9,"set"
3,323,"LDA_T2",10,"build"
3,323,"LDA_T2",11,"sampl"
3,323,"LDA_T2",12,"figur"
3,323,"LDA_T2",13,"histor"
3,323,"LDA_T2",14,"area"
3,323,"LDA_T2",15,"optim"
3,323,"LDA_T2",16,"method"
3,323,"LDA_T2",17,"decis"
3,323,"LDA_T2",18,"result"
3,323,"LDA_T2",19,"characterist"
3,323,"LDA_T2",20,"prefer"
3,323,"LDA_T3",1,"urban"
3,323,"LDA_T3",2,"citi"
3,323,"LDA_T3",3,"build"
3,323,"LDA_T3",4,"network"
3,323,"LDA_T3",5,"use"
3,323,"LDA_T3",6,"area"
3,323,"LDA_T3",7,"distribut"
3,323,"LDA_T3",8,"model"
3,323,"LDA_T3",9,"environ"
3,323,"LDA_T3",10,"sprawl"
3,323,"LDA_T3",11,"develop"
3,323,"LDA_T3",12,"indic"
3,323,"LDA_T3",13,"structur"
3,323,"LDA_T3",14,"materi"
3,323,"LDA_T3",15,"data"
3,323,"LDA_T3",16,"road"
3,323,"LDA_T3",17,"map"
3,323,"LDA_T3",18,"spatial"
3,323,"LDA_T3",19,"differ"
3,323,"LDA_T3",20,"block"
3,323,"LDA_T4",1,"urban"
3,323,"LDA_T4",2,"use"
3,323,"LDA_T4",3,"view"
3,323,"LDA_T4",4,"natur"
3,323,"LDA_T4",5,"environ"
3,323,"LDA_T4",6,"indic"
3,323,"LDA_T4",7,"space"
3,323,"LDA_T4",8,"walk"
3,323,"LDA_T4",9,"particip"
3,323,"LDA_T4",10,"respons"
3,323,"LDA_T4",11,"rate"
