"stm_topic","stm_topic_label","term_type","term"
"T1","Image-based urban modelling","prob","model"
"T1","Image-based urban modelling","prob","imag"
"T1","Image-based urban modelling","prob","urban"
"T1","Image-based urban modelling","prob","data"
"T1","Image-based urban modelling","prob","use"
"T1","Image-based urban modelling","prob","generat"
"T1","Image-based urban modelling","prob","train"
"T1","Image-based urban modelling","prob","dataset"
"T1","Image-based urban modelling","prob","method"
"T1","Image-based urban modelling","prob","result"
"T1","Image-based urban modelling","prob","segment"
"T1","Image-based urban modelling","prob","featur"
"T1","Image-based urban modelling","prob","build"
"T1","Image-based urban modelling","prob","network"
"T1","Image-based urban modelling","prob","learn"
"T1","Image-based urban modelling","prob","street"
"T1","Image-based urban modelling","prob","process"
"T1","Image-based urban modelling","prob","propos"
"T1","Image-based urban modelling","prob","accuraci"
"T1","Image-based urban modelling","prob","layer"
"T1","Image-based urban modelling","frex","cubixel"
"T1","Image-based urban modelling","frex","gep"
"T1","Image-based urban modelling","frex","dwt"
"T1","Image-based urban modelling","frex","vov"
"T1","Image-based urban modelling","frex","w-gp"
"T1","Image-based urban modelling","frex","hybrid"
"T1","Image-based urban modelling","frex","cubixel-bas"
"T1","Image-based urban modelling","frex","hsvcubixel"
"T1","Image-based urban modelling","frex","layer"
"T1","Image-based urban modelling","frex","adversari"
"T1","Image-based urban modelling","frex","segment"
"T1","Image-based urban modelling","frex","wavelet"
"T1","Image-based urban modelling","frex","w-gep"
"T1","Image-based urban modelling","frex","imit"
"T1","Image-based urban modelling","frex","counterfactu"
"T1","Image-based urban modelling","frex","pseudocod"
"T1","Image-based urban modelling","frex","unet"
"T1","Image-based urban modelling","frex","gan"
"T1","Image-based urban modelling","frex","nse"
"T1","Image-based urban modelling","frex","upsampl"
"T2","Urban design and affective/generative space","prob","design"
"T2","Urban design and affective/generative space","prob","urban"
"T2","Urban design and affective/generative space","prob","space"
"T2","Urban design and affective/generative space","prob","emot"
"T2","Urban design and affective/generative space","prob","generat"
"T2","Urban design and affective/generative space","prob","model"
"T2","Urban design and affective/generative space","prob","data"
"T2","Urban design and affective/generative space","prob","use"
"T2","Urban design and affective/generative space","prob","figur"
"T2","Urban design and affective/generative space","prob","process"
"T2","Urban design and affective/generative space","prob","crossref"
"T2","Urban design and affective/generative space","prob","plan"
"T2","Urban design and affective/generative space","prob","build"
"T2","Urban design and affective/generative space","prob","comput"
"T2","Urban design and affective/generative space","prob","environ"
"T2","Urban design and affective/generative space","prob","method"
"T2","Urban design and affective/generative space","prob","public"
"T2","Urban design and affective/generative space","prob","evalu"
"T2","Urban design and affective/generative space","prob","result"
"T2","Urban design and affective/generative space","prob","visual"
"T2","Urban design and affective/generative space","frex","homeless"
"T2","Urban design and affective/generative space","frex","scd"
"T2","Urban design and affective/generative space","frex","rst"
"T2","Urban design and affective/generative space","frex","urban-gan"
"T2","Urban design and affective/generative space","frex","pso-svr"
"T2","Urban design and affective/generative space","frex","salienc"
"T2","Urban design and affective/generative space","frex","topic"
"T2","Urban design and affective/generative space","frex","skid"
"T2","Urban design and affective/generative space","frex","feedback"
"T2","Urban design and affective/generative space","frex","attach"
"T2","Urban design and affective/generative space","frex","emot"
"T2","Urban design and affective/generative space","frex","design"
"T2","Urban design and affective/generative space","frex","re-design"
"T2","Urban design and affective/generative space","frex","lora"
"T2","Urban design and affective/generative space","frex","sign"
"T2","Urban design and affective/generative space","frex","post-war"
"T2","Urban design and affective/generative space","frex","plural"
"T2","Urban design and affective/generative space","frex","amen"
"T2","Urban design and affective/generative space","frex","vital"
"T2","Urban design and affective/generative space","frex","users’"
"T3","Urban clustering and built-form modelling","prob","cluster"
"T3","Urban clustering and built-form modelling","prob","urban"
"T3","Urban clustering and built-form modelling","prob","model"
"T3","Urban clustering and built-form modelling","prob","data"
"T3","Urban clustering and built-form modelling","prob","build"
"T3","Urban clustering and built-form modelling","prob","citi"
"T3","Urban clustering and built-form modelling","prob","parcel"
"T3","Urban clustering and built-form modelling","prob","type"
"T3","Urban clustering and built-form modelling","prob","shape"
"T3","Urban clustering and built-form modelling","prob","use"
"T3","Urban clustering and built-form modelling","prob","road"
"T3","Urban clustering and built-form modelling","prob","featur"
"T3","Urban clustering and built-form modelling","prob","imag"
"T3","Urban clustering and built-form modelling","prob","result"
"T3","Urban clustering and built-form modelling","prob","studi"
"T3","Urban clustering and built-form modelling","prob","learn"
"T3","Urban clustering and built-form modelling","prob","area"
"T3","Urban clustering and built-form modelling","prob","street"
"T3","Urban clustering and built-form modelling","prob","complex"
"T3","Urban clustering and built-form modelling","prob","block"
"T3","Urban clustering and built-form modelling","frex","avocado"
"T3","Urban clustering and built-form modelling","frex","potato"
"T3","Urban clustering and built-form modelling","frex","trapezoid"
"T3","Urban clustering and built-form modelling","frex","parcel"
"T3","Urban clustering and built-form modelling","frex","sti"
"T3","Urban clustering and built-form modelling","frex","fatal"
"T3","Urban clustering and built-form modelling","frex","k-mean"
"T3","Urban clustering and built-form modelling","frex","cluster"
"T3","Urban clustering and built-form modelling","frex","apart"
"T3","Urban clustering and built-form modelling","frex","irregular"
"T3","Urban clustering and built-form modelling","frex","esm"
"T3","Urban clustering and built-form modelling","frex","ncluster"
"T3","Urban clustering and built-form modelling","frex","taipei"
"T3","Urban clustering and built-form modelling","frex","stick"
"T3","Urban clustering and built-form modelling","frex","shape"
"T3","Urban clustering and built-form modelling","frex","l-shape"
"T3","Urban clustering and built-form modelling","frex","crash"
"T3","Urban clustering and built-form modelling","frex","telecom"
"T3","Urban clustering and built-form modelling","frex","block"
"T3","Urban clustering and built-form modelling","frex","gmm"
"T4","Urban vegetation mapping from LiDAR/point-cloud data","prob","urban"
"T4","Urban vegetation mapping from LiDAR/point-cloud data","prob","point"
"T4","Urban vegetation mapping from LiDAR/point-cloud data","prob","data"
"T4","Urban vegetation mapping from LiDAR/point-cloud data","prob","use"
"T4","Urban vegetation mapping from LiDAR/point-cloud data","prob","veget"
"T4","Urban vegetation mapping from LiDAR/point-cloud data","prob","tree"
