"Year","Spline_T1","Spline_T2","Spline_T3","Spline_T4","Spline_T5","Spline_T6","Spline_T7","Spline_T8"
2008,0.000224430422314321,0.000138975667508441,0.000209342122865413,0.998576182149067,0.000213729263715493,0.00037801655781675,0.000103370163950735,0.000155953652761473
2013,9.05731983828615e-05,4.29232321545565e-05,3.229315707278e-05,7.60349542322641e-05,2.15275137427964e-05,0.999597052240552,3.28396691540368e-05,0.000106756034709719
2015,4.28192829657175e-05,6.09157160004803e-05,4.99039910372349e-05,2.5042746714805e-05,7.36521241105066e-05,3.6543621217532e-05,0.999652717729657,5.8404788297005e-05
2019,0.00107852632741219,0.162957195128369,0.33318771408803,0.000166141748594262,0.000392082818973961,0.00773307064939835,0.000369486002822126,0.4941157832364
2020,0.000475954261479841,0.000152658670485214,0.00420596106398733,0.00611527176101505,0.959263149279525,0.000136268679280277,0.000127658218147266,0.0295230780660797
2021,0.000237476389777805,0.00034412836544197,0.000864311286047422,0.000253152581061247,0.333300794032014,0.200512336305308,0.333282932947615,0.131204868092735
2022,0.161287651830781,0.357717596001818,0.0126689365318341,0.0439674044054587,0.00100450770113104,0.255432157535226,0.16665492166929,0.00126682432446124
2023,0.325015088350986,0.174864163962065,0.000114036687703591,0.249479241722193,0.173229625469339,0.000121287956353033,0.00194300383767994,0.0752335520136811
2024,0.105905713397977,0.235531487758514,0.103176862255093,0.00761438632266513,0.0693985945642675,0.243331541362935,0.129572088733576,0.105469325604972
2025,0.217104778295437,0.0903823197550136,0.0441049435750374,0.0877956210409386,0.130420133598453,0.0438261112480438,0.0852553230465876,0.301110769440488
